Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
A1,Raspberry PI,Raspberry_Pi_3B_Socketed_THT_FaceDown_MountingHoles,137.16,-112.85,-90.0,top
A2,GY-PCM5102,GY-PCM5102,105.872,-63.5635,180.0,top
C1,100nF,C_0402_1005Metric,149.606,-77.47,-90.0,top
C2,100nF,C_0402_1005Metric,114.0,-65.2,-90.0,top
C3,100nF,C_0402_1005Metric,120.8,-78.486,-90.0,top
C4,100nF,C_0402_1005Metric,110.12,-81.0,0.0,top
C5,100uF,CP_EIA-3528-21_Kemet-B,115.0,-75.8,-90.0,top
C6,100u,CP_EIA-3528-21_Kemet-B,79.6,-77.0,-90.0,top
C7,100nF,C_0402_1005Metric,110.12,-82.6,0.0,top
C8,100nF,C_0402_1005Metric,112.0,-65.2,-90.0,top
C9,2u2,C_0402_1005Metric,103.8,-57.6,0.0,top
C10,10u,C_0402_1005Metric,95.6,-73.55,0.0,top
C11,10u,C_0402_1005Metric,87.658,-73.406,0.0,top
C12,2u2,C_0402_1005Metric,105.6,-60.08,90.0,top
C13,100n,C_0402_1005Metric,108.8,-63.8,0.0,top
C14,100n,C_0402_1005Metric,95.6,-72.35,0.0,top
C15,2u2,C_0402_1005Metric,99.4,-63.2,90.0,top
C16,2n2,C_0402_1005Metric,103.8,-59.0,0.0,top
C17,2n2,C_0402_1005Metric,103.8,-60.4,0.0,top
C18,100u,CP_EIA-3528-21_Kemet-B,111.0,-75.8,-90.0,top
C19,10u,C_0402_1005Metric,99.568,-73.406,0.0,top
C20,100n,C_0402_1005Metric,99.596,-72.39,0.0,top
C21,100n,C_0402_1005Metric,87.658,-72.39,0.0,top
C22,100n,C_0402_1005Metric,91.186,-72.39,0.0,top
C23,10u,C_0402_1005Metric,96.012,-67.818,0.0,top
C24,100u,CP_EIA-3528-21_Kemet-B,82.804,-76.962,-90.0,top
C25,100u,CP_EIA-3528-21_Kemet-B,105.41,-81.28,90.0,top
C26,100uF,CP_EIA-3528-21_Kemet-B,106.934,-73.914,180.0,top
C27,100uF,CP_EIA-3528-21_Kemet-B,106.934,-77.216,180.0,top
C28,100uF,CP_EIA-3528-21_Kemet-B,118.618,-73.914,-90.0,top
D1,1N4148WS,D_SOD-323,132.715,-82.296,90.0,top
ENC1,KY-040,PinHeader_1x05_P2.54mm_Horizontal,159.385,-128.27,0.0,top
IC1,OLED,1.3_I2C_OLED_No_mounting,120.18,-149.86,180.0,top
J1,DC IN,BarrelJack_CLIFF_FC681465S_SMT_Horizontal,83.1,-62.9,-90.0,top
J2,MIDI OUT,DIN5_MIDI_OUT,153.035,-63.71,180.0,top
J3,MIDI IN,DIN5_MIDI_IN,132.715,-63.71,180.0,top
J4,Faceplate,PinSocket_1x10_P2.54mm_Vertical,72.085,-74.295,0.0,top
J5,MIDI THRU,PinHeader_1x05_P2.54mm_Horizontal,159.385,-101.6,0.0,top
J6,Serial,PinHeader_1x04_P2.54mm_Horizontal,159.385,-114.935,0.0,top
J7,Conn_Extras,PinSocket_2x10_P2.54mm_Vertical,114.3,-112.395,0.0,bottom
J8,Module_Panel,Module_Panel,126.53,-132.77,0.0,top
J9,USB_C_Receptacle_USB2.0,USB_C_Receptacle_XKB_U262-16XN-4BVC11,112.8,-59.7,180.0,top
J11,AudioJack4,Jack_3.5mm_PJ320D_Horizontal,95.05,-61.2,-90.0,top
M1,Mounting,M3,73.355,-151.435,0.0,top
M2,Mounting,M3,167.005,-151.435,0.0,top
M3,Mounting,M3,167.005,-57.785,0.0,top
M4,Mounting,M3,73.355,-57.785,0.0,top
R1,220,R_0805_2012Metric,167.005,-63.754,-90.0,top
R2,220,R_0805_2012Metric,146.05,-76.2,180.0,top
R3,1k,R_0805_2012Metric,146.05,-80.01,0.0,top
R4,220,R_0805_2012Metric,146.05,-83.82,0.0,top
R5,220,R_0805_2012Metric,149.225,-96.52,-90.0,top
R6,220,R_0805_2012Metric,153.035,-96.52,-90.0,top
R7,330*,R_0805_2012Metric,121.6,-130.6,180.0,top
R8,22,R_0402_1005Metric,116.8,-68.6,180.0,top
R9,22,R_0402_1005Metric,116.8,-64.8,180.0,top
R10,22,R_0402_1005Metric,116.8,-67.4,180.0,top
R11,22,R_0402_1005Metric,108.4,-67.71,90.0,top
R12,470,R_0402_1005Metric,101.6,-59.0,180.0,top
R13,470,R_0402_1005Metric,101.6,-60.4,180.0,top
SW1,SYNTH,SW_Tactile_SPST_Angled_PTS645Vx39-2LFS,82.962,-150.4375,180.0,top
SW2,ROM,SW_Tactile_SPST_Angled_PTS645Vx39-2LFS,94.392,-150.4375,180.0,top
SW3,VOL_DOWN,SW_Tactile_SPST_Angled_PTS645Vx39-2LFS,157.3205,-150.1835,180.0,top
SW4,VOL_UP,SW_Tactile_SPST_Angled_PTS645Vx39-2LFS,145.8905,-150.1835,180.0,top
U1,74HCT14,SO-14_3.9x8.65mm_P1.27mm,159.766,-79.437,90.0,top
U2,H11L1M,DIP-6_W7.62mm,126.492,-80.01,90.0,top
U3,PCM5102A,TSSOP-20_4.4x6.5mm_P0.65mm,104.0,-65.0,0.0,top
U4,AMS1117-3.3,SOT-223-3_TabPin2,96.6,-78.55,-90.0,top
U5,AMS1117-3.3,SOT-223-3_TabPin2,89.2,-78.6,-90.0,top
